Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,177,2,Some Random Commen with Id 0
1,0,3,180,8,Some Random Commen with Id 1
2,0,3,79,6,Some Random Commen with Id 2
3,2,2,78,8,Some Random Commen with Id 3
4,2,2,111,2,Some Random Commen with Id 4
5,2,2,131,4,Some Random Commen with Id 5
6,2,2,22,4,Some Random Commen with Id 6
7,3,6,0,9,Some Random Commen with Id 7
8,3,6,19,2,Some Random Commen with Id 8
9,3,6,63,0,Some Random Commen with Id 9
10,3,6,102,8,Some Random Commen with Id 10
11,3,6,137,4,Some Random Commen with Id 11
12,3,6,187,7,Some Random Commen with Id 12
13,3,6,142,7,Some Random Commen with Id 13
14,3,6,182,0,Some Random Commen with Id 14
15,3,6,17,0,Some Random Commen with Id 15
16,4,2,148,7,Some Random Commen with Id 16
17,4,2,35,6,Some Random Commen with Id 17
18,4,2,27,8,Some Random Commen with Id 18
19,4,2,101,1,Some Random Commen with Id 19
20,4,2,11,6,Some Random Commen with Id 20
21,5,4,35,8,Some Random Commen with Id 21
22,5,4,130,4,Some Random Commen with Id 22
23,5,4,80,6,Some Random Commen with Id 23
24,5,4,96,7,Some Random Commen with Id 24
25,6,9,13,4,Some Random Commen with Id 25
26,6,9,44,9,Some Random Commen with Id 26
27,6,9,57,1,Some Random Commen with Id 27
28,6,9,79,5,Some Random Commen with Id 28
29,6,9,164,1,Some Random Commen with Id 29
30,6,9,22,8,Some Random Commen with Id 30
31,6,9,90,7,Some Random Commen with Id 31
32,6,9,29,7,Some Random Commen with Id 32
33,6,9,17,4,Some Random Commen with Id 33
34,9,7,36,3,Some Random Commen with Id 34
35,9,7,124,1,Some Random Commen with Id 35
36,9,7,157,0,Some Random Commen with Id 36
37,9,7,182,2,Some Random Commen with Id 37
38,9,7,196,8,Some Random Commen with Id 38
39,9,7,61,8,Some Random Commen with Id 39
40,9,7,72,3,Some Random Commen with Id 40
41,9,7,30,6,Some Random Commen with Id 41
42,10,8,109,2,Some Random Commen with Id 42
43,10,8,22,1,Some Random Commen with Id 43
44,10,8,153,5,Some Random Commen with Id 44
45,10,8,115,1,Some Random Commen with Id 45
46,10,8,158,4,Some Random Commen with Id 46
47,10,8,185,9,Some Random Commen with Id 47
48,11,0,70,7,Some Random Commen with Id 48
49,11,0,55,9,Some Random Commen with Id 49
50,11,0,50,5,Some Random Commen with Id 50
51,11,0,39,5,Some Random Commen with Id 51
52,11,0,59,9,Some Random Commen with Id 52
53,11,0,102,9,Some Random Commen with Id 53
54,11,0,33,2,Some Random Commen with Id 54
55,11,0,97,8,Some Random Commen with Id 55
56,12,5,92,7,Some Random Commen with Id 56
57,12,5,77,9,Some Random Commen with Id 57
58,12,5,81,3,Some Random Commen with Id 58
59,12,5,184,6,Some Random Commen with Id 59
60,13,5,72,4,Some Random Commen with Id 60
61,14,0,140,2,Some Random Commen with Id 61
62,14,0,29,6,Some Random Commen with Id 62
63,14,0,132,1,Some Random Commen with Id 63
64,14,0,64,9,Some Random Commen with Id 64
65,14,0,95,1,Some Random Commen with Id 65
66,14,0,43,8,Some Random Commen with Id 66
67,14,0,111,3,Some Random Commen with Id 67
68,14,0,76,5,Some Random Commen with Id 68
69,14,0,194,3,Some Random Commen with Id 69
70,15,7,122,6,Some Random Commen with Id 70
71,16,3,164,2,Some Random Commen with Id 71
72,16,3,193,5,Some Random Commen with Id 72
73,17,2,33,4,Some Random Commen with Id 73
74,17,2,161,4,Some Random Commen with Id 74
75,17,2,65,8,Some Random Commen with Id 75
76,17,2,45,2,Some Random Commen with Id 76
77,17,2,19,3,Some Random Commen with Id 77
78,17,2,92,3,Some Random Commen with Id 78
79,17,2,55,9,Some Random Commen with Id 79
80,17,2,38,2,Some Random Commen with Id 80
